type,value,confidence
domain,103.182.134.93:55125,high
domain,39.73.72.140:36821,high
domain,s3o-cnc.ddns.net,high
domain,62.60.159.191,high
domain,118.195.156.76:2443,high
domain,171.109.159.183:51264,high
domain,91.80.144.168,high
domain,176.215.199.12:32896,high
domain,196.251.69.112,high
domain,101.226.8.163:1521,high
domain,83.224.185.85,high
domain,61.52.53.202:55086,high
domain,27.202.244.253:36086,high
domain,221.14.207.250:43569,high
domain,docs.southsideblackancestry.com,high
domain,182.119.182.186:37247,high
domain,119.179.72.187:44949,high
domain,115.49.2.65:46567,high
domain,220.201.135.123:44132,high
domain,125.43.35.198:52409,high
domain,47.92.193.143:4444,high
domain,112.248.114.183:36967,high
domain,samarxx10.github.io,high
domain,117.207.217.166:62282,high
domain,47.120.32.72:8069,high
domain,222.140.182.110:60985,high
domain,200.59.77.45:48186,high
domain,59.94.71.43:37173,high
domain,114.55.106.136,high
domain,125.40.153.68:46627,high
domain,182.126.117.180:42011,high
domain,182.113.5.220:46047,high
domain,219.156.89.9:38969,high
domain,85.185.222.229:1826,high
domain,182.121.54.230:46513,high
domain,161.97.91.97:8080,high
domain,222.137.28.158:45979,high
domain,221.203.233.182:58667,high
domain,144.172.106.63,high
domain,buttehighsilverbs.com,high
domain,64.140.100.201:44920,high
domain,116.72.207.71:46749,high
domain,42.87.168.94:36079,high
domain,147.93.145.16,high
domain,119.116.238.217:40944,high
domain,zbvision.com,high
domain,fromthetrenchesworldreport.com,high
domain,105.100.120.11:53300,high
domain,49.156.46.134:31244,high
domain,61.53.124.124:54601,high
domain,59.182.121.130:2000,high
domain,29fe3231ed6d135d6d587276a82a4c9a.loophole.site,high
domain,149.87.70.154:12837,high
domain,121.127.231.213,high
domain,maxwallfoods.com,high
domain,94.241.90.73:3026,high
domain,182.122.221.116:43997,high
domain,91.122.210.7:42618,high
domain,123.11.240.95:37371,high
domain,ar-bn.costariga.de,high
domain,45.156.87.122,high
domain,82.58.108.50:50827,high
domain,153.37.77.156:8686,high
domain,61.53.124.164:54887,high
domain,167.86.110.41,high
domain,47.109.20.211:10010,high
domain,200.59.87.221:55955,high
domain,74.72.72.247:50872,high
domain,acc.jiangsujiaxue.com:8081,high
domain,124.131.130.77:54489,high
domain,zakshinwari.com,high
domain,163.142.92.169:58349,high
domain,47.93.28.103:33333,high
domain,112.238.16.195:53511,high
domain,42.238.170.20:52309,high
domain,27.216.173.236:59613,high
domain,95.73.107.255:53790,high
domain,112.248.100.22:53202,high
domain,123.11.72.81:34029,high
domain,119.179.206.110:57434,high
domain,175.9.37.232:58230,high
domain,61.53.119.248:47169,high
domain,144.172.116.121,high
domain,42.59.236.217:33595,high
domain,youwhotravel.com,high
domain,196.251.114.63,high
domain,46.6.14.69:16726,high
domain,us-h-auth-liveledger-live.webflow.io,high
domain,103.40.13.122:99,high
domain,172.245.123.11,high
domain,42.227.205.140:53074,high
domain,117.213.247.28:42991,high
domain,115.49.2.31:53906,high
domain,www.automobile-bk.de,high
domain,222.165.237.62:37379,high
domain,61.176.87.46:53023,high
domain,59.92.86.222:34534,high
domain,175.165.44.195:49064,high
domain,94.130.106.190,high
domain,120.40.150.50:49771,high
domain,223.151.75.16:48590,high
domain,200.59.85.7:49014,high
domain,200.59.81.180:39361,high
domain,193.37.69.42:4432,high
domain,88.24.168.80:10072,high
domain,125.41.0.244:58581,high
domain,222.141.46.142:50653,high
domain,185.136.192.22:7170,high
domain,94.26.90.5,high
domain,deltainfotek.com,high
domain,117.205.91.81:53265,high
domain,112.227.132.44:51253,high
domain,117.221.243.89:33296,high
domain,60.23.141.169:48430,high
domain,xn--90abegbttpjb3bzb2j.xn--p1ai,high
domain,115.61.237.102:39698,high
domain,222.137.22.168:53903,high
domain,b2breservas.shop,high
domain,182.122.232.58:59215,high
domain,196.251.86.118:8080,high
domain,109.207.217.114:1026,high
